subject,condition,gameName,levels_won,steps,planner_steps,score
full,normal,angelsdemons,3,2,5,4
full,normal,angelsdemons,3,2,5,4
full,normal,angelsdemons,3,2,5,4
full,normal,angelsdemons,3,2,5,4
full,normal,angelsdemons,3,2,5,4
full,normal,angelsdemons,3,2,5,4
full,normal,angelsdemons,3,2,5,4
full,normal,angelsdemons,3,2,5,4
full,normal,angelsdemons,3,2,5,4
full,normal,angelsdemons,3,2,5,4
full,normal,angelsdemons,3,2,5,4
full,normal,angelsdemons,3,2,5,4
full,normal,angelsdemons,3,2,5,4
full,normal,angelsdemons,3,2,5,4
full,normal,angelsdemons,3,2,5,4
full,normal,angelsdemons,3,2,5,4
full,normal,angelsdemons,3,2,5,4
full,normal,angelsdemons,3,2,5,4
full,normal,angelsdemons,3,2,5,4
full,normal,angelsdemons,3,2,5,4
full,normal,angelsdemons,3,2,5,4
full,normal,angelsdemons,3,2,5,4
full,normal,angelsdemons,3,2,5,4
full,normal,angelsdemons,3,2,5,4
full,normal,angelsdemons,3,2,5,4
full,normal,angelsdemons,3,2,5,4
full,normal,angelsdemons,3,2,5,4
full,normal,angelsdemons,3,2,5,4
full,normal,angelsdemons,3,2,5,4
full,normal,angelsdemons,3,2,5,4
full,normal,angelsdemons,3,2,5,4
full,normal,angelsdemons,3,2,5,4
full,normal,angelsdemons,3,2,5,4
full,normal,angelsdemons,3,2,5,4
full,normal,angelsdemons,3,2,5,4
full,normal,angelsdemons,3,2,5,4
full,normal,angelsdemons,3,2,5,4
full,normal,angelsdemons,3,2,5,4
full,normal,angelsdemons,3,2,5,4
full,normal,angelsdemons,3,2,5,4
full,normal,angelsdemons,3,2,5,4
full,normal,angelsdemons,3,2,5,4
full,normal,angelsdemons,3,2,5,4
full,normal,angelsdemons,3,2,5,4
full,normal,angelsdemons,3,2,5,4
full,normal,angelsdemons,3,2,5,4
full,normal,angelsdemons,3,2,5,4
full,normal,angelsdemons,3,2,5,4
full,normal,angelsdemons,3,2,5,4
